Image Name,Original name,Stimtype,Task,Sim_Category,Sim_Score,Valence_Category,Valence_Score,Arousal_Category,Arousal_Score,MEMORABILITY,ABBA Encoding Valence score,VALENCE_OVERALL,OVERALL_VALENCE_CATEGORY,Set
3048_A_L,30025a.jpg,Baseline Lure,Encoding,Low Similarity,3.751260081,Positive,6.546561105,Somewhat arousing,4.423601423,0.686727822,6.454763302,6.483016992,Positive,B
3048_B_L,30025b.jpg,Lure,Retrieval,Low Similarity,3.751260081,Positive,6.546561105,Somewhat arousing,4.423601423,0.635706067,,6.483016992,Positive,B
3052_A_H,30032a.jpg,Baseline Lure,Encoding,High Similarity,4.861060006,Positive,6.898960658,Somewhat arousing,4.78364781,0.742099226,7.25349537,7.147466298,Positive,B
3052_B_H,30032b.jpg,Lure,Retrieval,High Similarity,4.861060006,Positive,6.898960658,Somewhat arousing,4.78364781,0.78078419,,7.147466298,Positive,B
3054_A_H,30034a.jpg,Baseline Lure,Encoding,High Similarity,4.913166591,Positive,6.09405602,Somewhat arousing,4.914332799,0.775397837,6.434166667,6.313102915,Positive,A
3054_B_H,30034b.jpg,Lure,Retrieval,High Similarity,4.913166591,Positive,6.09405602,Somewhat arousing,4.914332799,0.766486049,,6.313102915,Positive,A
3055_A_L,30035a.jpg,Baseline Lure,Encoding,Low Similarity,4.195079259,Positive,6.416974749,Somewhat arousing,4.034336635,0.778237045,6.674103791,6.597630267,Positive,A
3055_B_L,30035b.jpg,Lure,Retrieval,Low Similarity,4.195079259,Positive,6.416974749,Somewhat arousing,4.034336635,0.76250422,,6.597630267,Positive,A
3057_A_H,30038a.jpg,Baseline Lure,Encoding,High Similarity,4.605064174,Positive,6.578366815,Somewhat arousing,5.050493513,0.790175557,6.306978202,6.384199302,Positive,A
3057_B_H,30038c.jpg,Lure,Retrieval,High Similarity,4.605064174,Positive,6.578366815,Somewhat arousing,5.050493513,0.735757232,,6.384199302,Positive,A
3058_A_H,30039a.jpg,Baseline Lure,Encoding,High Similarity,4.617359706,Positive,7.095532114,Somewhat arousing,4.796145953,0.861081898,7.196037861,7.169832481,Positive,A
3058_B_H,30039c.jpg,Lure,Retrieval,High Similarity,4.617359706,Positive,7.095532114,Somewhat arousing,4.796145953,0.894161642,,7.169832481,Positive,A
366A.jpg,366A.jpg,Baseline Lure,Encoding,Low Similarity,3.590087891,Negative,3.254983836,Somewhat arousing,5.033809267,0.803,,,,A
366B.jpg,366B.jpg,Lure,Retrieval,Low Similarity,3.590087891,Negative,4.254983836,Somewhat arousing,6.033809267,0.695,,,,A
1002_A_H,10016d.jpg,Baseline Lure,Encoding,High Similarity,4.884515859,Negative,2.66796875,Somewhat arousing,5.137581962,0.755430758,2.434654707,2.506443643,Negative,B
1002_B_H,10016e.jpg,Lure,Retrieval,High Similarity,4.884515859,Negative,2.66796875,Somewhat arousing,5.137581962,0.675741434,,2.506443643,Negative,B
1003_A_L,10017d.jpg,Baseline Lure,Encoding,Low Similarity,4.135331411,Negative,2.637442453,Somewhat arousing,5.761492048,0.865789354,2.651412037,2.647234217,Negative,A
1003_B_L,10017f.jpg,Lure,Retrieval,Low Similarity,4.135331411,Negative,2.637442453,Somewhat arousing,5.761492048,0.934129477,,2.647234217,Negative,A
1014_A_L,10032a.jpg,Baseline Lure,Encoding,Low Similarity,3.758928571,Negative,2.780016921,Somewhat arousing,5.190455845,0.90058589,2.513680556,2.591571379,Negative,A
1014_B_L,10032b.jpg,Lure,Retrieval,Low Similarity,3.758928571,Negative,2.780016921,Somewhat arousing,5.190455845,0.937678516,,2.591571379,Negative,A
1021_A_L,10039a.jpg,Baseline Lure,Encoding,Low Similarity,4.547315325,Negative,3.232683454,Somewhat arousing,4.132629395,0.854265332,2.772810571,2.91430992,Negative,B
1021_B_L,10039b.jpg,Lure,Retrieval,Low Similarity,4.547315325,Negative,3.232683454,Somewhat arousing,4.132629395,0.734217107,,2.91430992,Negative,B
1025_A_L,10044a.jpg,Baseline Lure,Encoding,Low Similarity,3.844432286,Negative,3.395438058,Somewhat arousing,5.395603725,0.770214796,3.027516172,3.139644747,Negative,B
1025_B_L,10044b.jpg,Lure,Retrieval,Low Similarity,3.844432286,Negative,3.395438058,Somewhat arousing,5.395603725,0.938408256,,3.139644747,Negative,B
